Exception Error  [could not read bytes]
Class 00:   RA = 202, RE = 202  
Class 01:   RA = 202, RE = 202  
Class 02:   RA = 204, RE = 204  
Class 03:   RA = 108, RE = 108  
Class 04:   RA = 203, RE = 203  
Class 05:   RA = 202, RE = 202  
Class 06:   RA = 204, RE = 204  
Class 07:   RA = 203, RE = 203  
Class 08:   RA = 204, RE = 204  
Class 09:   RA = 166, RE = 166  
Class 10:   RA = 201, RE = 201  
Class 11:   RA = 181, RE = 181  
Class 12:   RA = 203, RE = 203  
Class 13:   RA = 202, RE = 202  
Class 14:   RA = 202, RE = 202  
Class 15:   RA = 203, RE = 203  
Class 16:   RA = 203, RE = 203  
Class 17:   RA = 201, RE = 201  
Class 18:   RA = 174, RE = 174  
Class 19:   RA = 201, RE = 201  
Class 20:   RA = 201, RE = 201  
Class 21:   RA = 201, RE = 201  
Class 22:   RA = 201, RE = 201  
Class 23:   RA = 201, RE = 201  
Class 24:   RA = 201, RE = 201  
Class 25:   RA = 201, RE = 201  
Class 26:   RA = 203, RE = 203  
Class 27:   RA = 202, RE = 202  
Class 28:   RA = 201, RE = 201  
Class 29:   RA = 201, RE = 201  
Class 30:   RA = 202, RE = 202  
Total count = 47420
Saved count = 23709
End Time [2023-11-28 00:36:27]
